   Multiple Comparison of Means - Tukey HSD, FWER=0.05   
=========================================================
group1 group2  meandiff p-adj    lower     upper   reject
   C26     C6  114.0695  0.001  113.2082  114.9308   True
   C26     C7   87.8852  0.001   87.0239   88.7465   True
   C26     C8  102.8759  0.001  102.0146  103.7372   True
   C26     C9   82.4415  0.001   81.5802   83.3028   True
   C27     C3   74.6979  0.001   73.8366   75.5592   True
   C27     C4   34.9335  0.001   34.0723   35.7948   True
   C27     C5  124.4619  0.001  123.6006  125.3232   True
   C27     C6  114.2142  0.001  113.3529  115.0755   True
   C27     C7   88.0299  0.001   87.1686   88.8912   True
   C27     C8  103.0206  0.001  102.1593  103.8819   True
   C27     C9   82.5862  0.001   81.7249   83.4475   True
    C3     C4  -39.7643  0.001  -40.6256   -38.903   True
    C3     C5    49.764  0.001   48.9027   50.6253   True
    C3     C6   39.5163  0.001    38.655   40.3776   True
    C3     C7    13.332  0.001   12.4707   14.1933   True
    C3     C8   28.3228  0.001   27.4615    29.184   True
    C3     C9    7.8883  0.001     7.027    8.7496   True
    C4     C5   89.5283  0.001    88.667   90.3896   True
    C4     C6   79.2807  0.001   78.4194    80.142   True
    C4     C7   53.0963  0.001    52.235   53.9576   True
    C4     C8   68.0871  0.001   67.2258   68.9484   True
    C4     C9   47.6527  0.001   46.7914    48.514   True
    C5     C6  -10.2477  0.001   -11.109   -9.3864   True
    C5     C7   -36.432  0.001  -37.2933  -35.5707   True
    C5     C8  -21.4412  0.001  -22.3025    -20.58   True
    C5     C9  -41.8757  0.001   -42.737  -41.0144   True
    C6     C7  -26.1843  0.001  -27.0456   -25.323   True
    C6     C8  -11.1936  0.001  -12.0549  -10.3323   True
    C6     C9   -31.628  0.001  -32.4893  -30.7667   True
    C7     C8   14.9908  0.001   14.1295    15.852   True
    C7     C9   -5.4437  0.001    -6.305   -4.5824   True
    C8     C9  -20.4344  0.001  -21.2957  -19.5731   True
---------------------------------------------------------
